"warehouse_key","warehouse_location"
965,"9469 Bayside Plaza"
966,"805 Nancy Crossing"
967,"32 Cottonwood Pass"
968,"583 Loftsgordon Road"
969,"0 Oxford Crossing"
970,"19069 Cordelia Drive"
971,"51369 Dawn Hill"
972,"811 Dapin Center"
973,"3 Bayside Point"
974,"803 Cottonwood Crossing"
975,"61 Transport Parkway"
976,"9327 Hanover Way"
977,"3 Monument Street"
978,"2582 Autumn Leaf Park"
979,"21379 Stoughton Junction"
980,"10342 Division Place"
981,"67 Little Fleur Road"
982,"9 Meadow Ridge Center"
983,"3053 Sachs Center"
984,"550 Clemons Plaza"
985,"6 Swallow Crossing"
986,"36 3rd Place"
987,"32 Charing Cross Pass"
988,"35 Waxwing Center"
989,"050 Mcbride Avenue"
990,"4 Dakota Avenue"
